Period,Fund,Start date,End date,Observations,Ann. return (%),Ann. volatility (%),Sharpe,Max drawdown (%),Total return (%)
Full sample,Combined Max Sharpe,2021-01-04,2023-12-29,753,16.17612172436602,22.393517986622786,0.7223573238483185,-26.01179621697761,56.52201221270854
2021 recovery,Combined Max Sharpe,2021-01-04,2021-12-31,252,56.6646090622539,29.06108513848346,1.9498449143324357,-12.558072048635937,56.6646090622539
2022 drawdown,Combined Max Sharpe,2022-01-03,2022-12-30,251,-5.6216215157106175,20.63118730824365,-0.2724817254440986,-26.011796216977558,-5.599950134076548
2023 recovery,Combined Max Sharpe,2023-01-03,2023-12-29,250,5.8837606967971245,15.150493354317748,0.3883543960712215,-12.228027499524185,5.8357275031138744
Full sample,Combined Risk Parity,2021-01-04,2023-12-29,753,13.649075286282164,16.039634171515353,0.850959263804248,-19.792189414213034,46.5670073341669
2021 recovery,Combined Risk Parity,2021-01-04,2021-12-31,252,36.63840842752322,14.64760425482686,2.5013242978249957,-7.051829656872122,36.63840842752322
2022 drawdown,Combined Risk Parity,2022-01-03,2022-12-30,251,-7.049599823271901,19.897607550212673,-0.3542938418843502,-19.792189414212945,-7.022631381845301
2023 recovery,Combined Risk Parity,2023-01-03,2023-12-29,250,15.500234009778758,12.66286001936325,1.2240705485235384,-9.272232814811698,15.368215410173903
Full sample,Crypto Min Variance,2020-12-31,2023-12-29,754,22.605125392988068,64.94794440107458,0.34804989752091464,-75.1254834663206,84.00237475668368
2021 recovery,Crypto Min Variance,2021-01-04,2021-12-31,252,154.60967549423881,86.75738799695264,1.7820923273954428,-52.97399603278915,154.60967549423881
2022 drawdown,Crypto Min Variance,2022-01-03,2022-12-30,251,-57.57491451680134,59.614642650221626,-0.9657847796658277,-62.909287791529756,-57.43031724613721
2023 recovery,Crypto Min Variance,2023-01-03,2023-12-29,250,71.45949264837877,38.97016147734939,1.8336976276044716,-19.81580135160691,70.72735396839008
Full sample,Equity Equal Weight,2021-01-04,2023-12-29,753,12.60529521719993,16.169249461808523,0.7795844356890782,-20.321862626913546,42.58132462929425
2021 recovery,Equity Equal Weight,2021-01-04,2021-12-31,252,27.044909922846294,12.571404881120928,2.1513037069914844,-5.95638823208745,27.044909922846294
2022 drawdown,Equity Equal Weight,2022-01-03,2022-12-30,251,-4.4242599890460195,21.196122746140652,-0.20872968334982775,-20.3218626269136,-4.407096093055962
2023 recovery,Equity Equal Weight,2023-01-03,2023-12-29,250,17.553931546492272,13.328199107026679,1.3170520192212445,-10.38654760635377,17.403142239011228
Full sample,Equity Risk Parity,2021-01-04,2023-12-29,753,9.799192369780108,14.58343453046433,0.6719399568949211,-18.680470579040552,32.22516384115801
2021 recovery,Equity Risk Parity,2021-01-04,2021-12-31,252,23.59890242549454,11.186722910855067,2.1095456295422568,-6.080049329532078,23.59890242549454
2022 drawdown,Equity Risk Parity,2022-01-03,2022-12-30,251,-4.011428473991463,19.088219607053627,-0.21015204961855785,-18.680470579040566,-3.995832474054184
2023 recovery,Equity Risk Parity,2023-01-03,2023-12-29,250,11.528404378804025,12.212938104717265,0.9439501191241739,-9.282147703571065,11.431868673542866
Full sample,Equity Sentiment Tilt,2021-01-04,2023-12-29,753,10.078910087412485,14.600005934864901,0.6903360267370843,-18.270406739441224,33.234251062032726
2021 recovery,Equity Sentiment Tilt,2021-01-04,2021-12-31,252,23.741544176720563,11.254923542784976,2.109436291278957,-6.019784369935066,23.741544176720563
2022 drawdown,Equity Sentiment Tilt,2022-01-03,2022-12-30,251,-3.9905422167617832,19.09742952942356,-0.20895703322866166,-18.27040673944127,-3.9750257276958023
2023 recovery,Equity Sentiment Tilt,2023-01-03,2023-12-29,250,12.231271570376268,12.19444807915662,1.0030196931407325,-9.32535169713602,12.128536615068741
